direccion,placa,vigente
CALLE BAÑOS 0,7597,True
CALLE BAÑOS 0,1841,True
CALLE CARRETERA DE JAEN 19,6931,True
CALLE ALMERIA 17,5062,False
CALLE IBAÑEZ IBERO 0,7497,True
CALLE MANUEL DE FALLA 21,2442,True
CALLE TEJARES 77,6222,True
CALLE DOCTOR FERRAN 27,6688,True
CALLE CORNEJO 27,6563,True
CALLE DOCTOR FLEMING 38,2632,True
PLAZA PADRE DAMIAN 2,4350,True
PASEO OLIVA SABUCO DE NANTES 20,4311,True
CALLE BLASCO IBAÑEZ 20,479,True
PSAJE QUITO 8,416,False
CALLE GERONA 30,6913,True
PLAZA MADROÑO 7,7309,True
CALLE CAMINO DE LA VIRGEN 4,746,True
CALLE SAN ALBERTO 4,3148,True
CALLE INDUSTRIA 1,5401,True
AVDA ISABEL LA CATOLICA 24,5917,True
CALLE CARRETERA DE MADRID 16,5553,True
CALLE DIONISIO GUARDIOLA 41,6872,True
AVDA ISABEL LA CATOLICA 32,4413,True
CALLE LUIS VIVES 11,1193,True
CALLE MARIANA PINEDA 6,5314,True
CALLE JOAQUIN SANCHEZ JIMENEZ 4,10539,True
CALLE BAÑOS 52,1964,True
CALLE BAÑOS 58,6019,True
CALLE ARCIPRESTE GALVEZ 15,4750,False
CALLE QUIÑONES 6,7886,False
CALLE BARRIO DEL MILAGRO (SANTA ANA) 33,10773,False
CALLE SAN SEBASTIAN 22,6196,True
CALLE VELARDE 22,6813,True
CALLE ESPOZ Y MINA 1,2895,True
CALLE DOCTOR FERRAN 97,783,True
CALLE VELARDE 28,3914,True
CALLE VELARDE 28,3284,True
CALLE VELARDE 28,5170,True
CALLE VELARDE 20,6894,True
CALLE BAILEN 57,7551,False
CALLE LLANOS MORENO 6,3840,True
CALLE ORENSE 6,683,True
PSAJE JOSE PONCE 22,,False
CALLE CAMINO DE LA VIRGEN 4,3487,True
CALLE VELARDE 17,8081,True
CALLE CRISTOBAL PEREZ PASTOR 76,6844,True
CALLE VELARDE 33,3014,True
CALLE MIGUEL LOPEZ DE LEGAZPI 13,3524,True
CALLE SAN ADOLFO 1,7356,True
CALLE MIGUEL LOPEZ DE LEGAZPI 17,2704,True
CALLE CUCHILLEROS 15,2817,False
CALLE MIGUEL LOPEZ DE LEGAZPI 13,7292,True
CALLE MIGUEL LOPEZ DE LEGAZPI 15,2673,True
CALLE OCTAVIO CUARTERO 114,6745,True
PSAJE NICOLAU 0,10171,False
CALLE DAOIZ 10,6179,False
CALLE OBISPO TAGASTE 5,3232,False
CALLE OBISPO TAGASTE 7,3504,True
CALLE DOCTOR FERRAN 90,4421,True
CALLE GRANADA 39,6608,True
CALLE ORTUÑO 24,9644,False
CALLE BERNABE CANTOS 19,5574,True
CALLE TARRAGONA 9,6271,True
CALLE BLASCO DE GARAY 41,7263,True
CALLE BERNABE CANTOS 36,3853,True
AVDA TOREROS (LOS) 18,3061,True
CALLE ALICANTE 7,5529,True
CALLE CORDOBA 3,10381,False
CALLE JOSE ECHEGARAY 8,6884,True
CALLE TARRAGONA 11,6526,True
CALLE QUEVEDO 0,7724,False
